TX_LOSS,TX_DELAY,TX_JITTER,RX_LOSS,RX_DELAY,RX_JITTER
0,751,57,0,751,57
0,788,118,0,759,68
0,768,81,0,724,9
0,800,149,0,724,10
0,776,104,0,720,9
0,786,115,0,720,9
0,787,111,0,726,19
0,803,157,0,722,8
0,845,202,0,724,17
0,798,138,0,721,8
0,773,102,0,722,11
0,772,92,0,721,7
0,789,116,0,722,7
0,757,73,0,721,7
0,787,120,0,723,12
0,804,149,0,719,9
0,804,137,0,718,9
0,819,166,0,716,11
0,821,149,0,715,7
0,781,106,0,733,54
0,769,84,0,769,84
0,774,90,0,774,90
0,785,113,0,822,113
0,777,95,0,777,95
0,777,99,0,777,99
0,754,61,0,754,61
0,751,59,0,751,59
0,756,59,0,756,59
0,790,149,0,749,51
0,783,124,0,731,11
0,790,139,0,733,11
0,771,106,0,733,11
0,775,115,0,733,8
0,788,120,0,727,7
0,798,141,0,723,10
0,778,88,0,720,11
0,806,147,0,718,9
0,783,107,0,718,11
0,779,97,0,719,11
0,814,165,0,716,8
0,824,171,0,715,10
0,810,128,0,714,11
0,794,120,0,718,10
0,798,135,0,721,9
0,807,152,0,721,7
0,785,113,0,721,9
0,776,93,0,717,8
0,805,134,0,710,6
0,813,156,0,708,7
0,793,111,0,713,8
0,771,87,0,716,8
0,779,104,0,721,8
0,791,115,0,719,10
0,779,100,0,718,10
0,843,203,0,718,8
0,788,123,0,723,12
0,782,110,0,725,10
0,786,134,0,729,9
0,789,139,0,730,12
0,784,129,0,730,9
0,764,95,0,732,7
0,800,162,0,732,10
0,786,126,0,729,8
0,794,136,0,725,12
0,791,116,0,719,10
0,801,139,0,716,10
0,785,105,0,716,8
0,772,88,0,719,12
0,784,108,0,717,10
0,788,112,0,714,14
0,803,114,0,710,10
0,797,126,0,715,9
0,792,120,0,722,12
0,781,106,0,727,16
0,782,115,0,729,8
0,767,107,0,733,12
0,779,111,0,733,9
0,783,126,0,731,10
0,826,189,0,731,12
0,811,157,0,726,44
0,757,59,0,757,59
0,753,56,0,753,56
0,777,97,0,777,97
0,753,65,0,756,65
0,762,70,0,762,70
0,758,71,0,758,71
0,758,65,0,758,65
0,766,69,0,766,69
0,787,120,0,722,10
0,795,136,0,723,9
0,777,113,0,723,8
0,837,204,0,723,9
0,812,166,0,722,9
0,788,118,0,723,8
0,818,142,0,723,9
0,779,121,0,729,8
0,789,123,0,726,8
0,772,105,0,726,8
0,795,124,0,723,11
0,786,110,0,719,11
0,813,149,0,716,9
0,796,116,0,712,8
0,819,158,0,713,9
0,793,120,0,714,9
0,788,117,0,720,13
0,819,170,0,721,9
0,787,107,0,719,7
0,796,127,0,720,15
0,793,113,0,720,12
0,793,128,0,719,8
0,796,128,0,722,8
0,770,101,0,725,9
0,775,105,0,730,13
0,788,137,0,727,9
0,792,127,0,727,11
0,840,190,0,723,8
0,838,203,0,721,10
0,842,190,0,721,11
0,855,222,0,720,9
0,804,135,0,720,12
0,820,165,0,720,12
0,791,116,0,721,9
0,787,116,0,721,9
0,783,115,0,721,9
0,807,136,0,720,8
0,812,168,0,722,9
0,761,77,0,722,7
0,788,126,0,730,20
0,809,159,0,725,9
0,801,149,0,725,12
0,791,120,0,725,14
0,778,105,0,722,9
0,779,106,0,719,9
0,803,143,0,724,14
0,809,138,0,717,8
0,788,123,0,718,9
0,798,120,0,717,8
0,806,145,0,719,8
0,778,109,0,724,10
0,784,100,0,724,20
0,758,67,0,758,67
0,789,104,0,789,104
0,767,68,0,754,67
0,755,91,0,776,91
0,755,64,0,755,64
0,785,96,0,785,96
0,779,89,0,779,89
0,798,133,0,1133,133
0,812,272,0,836,176
0,788,120,0,723,9
0,786,121,0,721,8
0,784,113,0,721,8
0,817,170,0,719,10
0,785,106,0,715,7
0,780,94,0,716,9
0,824,173,0,714,8
0,828,169,0,713,8
0,885,290,0,715,9
0,852,211,0,717,8
0,805,138,0,720,9
0,806,145,0,725,9
0,801,150,0,725,9
0,826,192,0,729,13
0,810,161,0,729,14
0,771,100,0,728,16
0,806,153,0,724,10
0,799,133,0,723,10
0,807,155,0,720,7
0,800,143,0,720,9
0,819,170,0,720,8
0,802,152,0,722,9
0,802,143,0,724,10
0,773,106,0,725,8
0,836,200,0,724,6
0,813,156,0,724,8
0,793,139,0,725,11
0,829,190,0,722,9
0,810,151,0,719,8
0,801,126,0,720,8
0,831,184,0,717,8
0,784,104,0,716,9
0,785,107,0,721,24
0,776,90,0,715,9
0,796,131,0,720,10
0,788,123,0,724,11
0,780,110,0,723,8
0,769,97,0,726,11
0,776,94,0,721,9
0,794,133,0,722,9
0,810,162,0,722,9
0,798,129,0,722,9
0,800,142,0,721,9
0,821,176,0,720,9
0,805,147,0,723,13
0,764,82,0,725,9
0,767,88,0,725,8
0,793,133,0,726,7
0,835,184,0,725,8
0,844,212,0,723,7
0,865,236,0,719,11
0,782,101,0,782,101
0,775,93,0,775,93
0,781,98,0,781,98
0,786,98,0,786,98
0,756,61,0,756,61
0,757,62,0,757,62
0,757,61,0,757,61
0,758,68,0,758,68
0,799,127,0,816,142
0,823,174,0,718,9
0,818,158,0,718,9
0,778,91,0,719,11
0,772,92,0,718,9
0,797,136,0,720,10
0,823,176,0,721,10
0,836,203,0,720,9
0,904,307,0,720,12
0,833,207,0,722,8
0,841,225,0,724,8
0,752,71,0,726,10
0,793,133,0,725,10
0,807,157,0,726,13
0,803,141,0,724,11
0,846,193,0,724,9
0,813,152,0,724,9
0,845,203,0,723,9
0,808,151,0,720,9
0,808,164,0,721,10
0,805,153,0,720,7
0,814,158,0,721,8
0,791,121,0,720,9
0,804,135,0,716,8
0,793,121,0,714,8
0,808,125,0,711,9
0,806,132,0,714,10
0,821,167,0,718,10
0,794,119,0,720,7
0,786,125,0,722,9
0,827,196,0,723,7
0,789,129,0,724,9
0,797,144,0,727,11
0,806,149,0,727,9
0,777,109,0,728,8
0,784,118,0,727,8
0,784,129,0,726,8
0,761,75,0,725,8
0,775,98,0,723,10
0,792,130,0,722,9
0,788,99,0,720,9
0,767,84,0,721,10
0,790,106,0,721,9
0,795,120,0,726,16
0,769,96,0,721,9
0,778,100,0,721,8
0,786,105,0,722,9
0,789,118,0,725,9
0,788,122,0,726,10
0,801,155,0,722,8
0,780,107,0,720,7
0,795,120,0,721,9
0,784,85,0,760,74
0,769,76,0,769,76
0,751,53,0,751,53
0,755,74,0,761,77
0,759,64,0,759,64
0,752,56,0,752,56
0,756,62,0,756,62
0,765,75,0,765,75
0,780,107,0,747,50
0,799,146,0,720,8
0,803,138,0,719,10
0,814,155,0,718,11
0,777,94,0,715,7
0,785,100,0,720,16
0,774,89,0,717,7
0,786,114,0,718,9
0,772,96,0,718,8
0,761,70,0,717,7
0,783,94,0,714,9
0,771,88,0,713,8
0,781,102,0,720,11
0,821,171,0,720,6
0,771,81,0,723,9
0,784,109,0,727,10
0,821,197,0,725,9
0,779,114,0,728,10
0,765,95,0,732,9
0,761,107,0,734,6
0,755,86,0,733,8
0,759,94,0,731,7
0,757,81,0,728,8
0,772,94,0,722,8
0,774,101,0,720,9
0,785,96,0,719,9
0,795,129,0,718,9
0,796,127,0,717,9
0,789,109,0,715,7
0,817,170,0,715,9
0,781,105,0,717,9
0,784,105,0,717,9
0,794,135,0,718,10
0,779,100,0,717,10
0,779,94,0,713,9
0,797,124,0,714,9
0,780,105,0,719,7
0,773,97,0,724,9
0,784,130,0,725,7
0,785,122,0,725,7
0,768,96,0,723,7
0,817,172,0,721,9
0,770,88,0,717,8
0,775,107,0,720,8
0,778,104,0,721,7
0,789,129,0,722,7
0,797,136,0,721,7
0,812,165,0,720,9
0,819,162,0,716,8
0,773,86,0,712,7
0,803,131,0,712,7
0,825,173,0,709,7
0,793,105,0,744,46
0,763,82,0,763,82
0,764,79,0,764,79
0,777,67,0,756,66
0,755,70,0,755,70
0,754,63,0,754,63
0,753,61,0,753,61
0,757,65,0,757,65
0,746,96,0,834,204
0,814,170,0,730,8
0,773,110,0,723,7
0,782,110,0,721,8
0,795,133,0,718,8
0,832,192,0,714,7
0,854,208,0,715,8
0,776,93,0,718,10
0,808,153,0,725,11
0,816,175,0,726,7
0,765,96,0,727,7
0,790,145,0,726,13
0,768,87,0,724,8
0,763,83,0,720,9
0,781,109,0,716,9
0,801,148,0,716,9
0,805,142,0,711,8
0,796,130,0,713,8
0,786,120,0,717,9
0,815,143,0,718,8
0,793,131,0,718,7
0,805,168,0,719,7
0,799,138,0,718,8
0,806,150,0,718,8
0,787,128,0,718,8
0,900,301,0,716,9
0,948,369,0,714,7
0,889,248,0,713,7
0,929,363,0,713,8
0,809,141,0,715,7
0,765,86,0,718,7
0,783,115,0,721,7
0,770,105,0,722,7
0,788,131,0,726,7
0,769,107,0,727,7
0,770,115,0,728,8
0,788,142,0,729,9
0,759,90,0,728,9
0,797,152,0,727,10
0,785,128,0,723,7
0,800,159,0,719,6
0,805,142,0,717,11
0,790,113,0,712,6
0,796,124,0,715,8
0,775,100,0,714,8
0,769,89,0,714,7
0,766,82,0,716,7
0,788,121,0,715,6
0,774,99,0,715,7
0,769,91,0,718,9
0,784,124,0,718,6
0,761,80,0,719,7
0,773,75,0,731,27
0,759,72,0,759,72
0,744,49,0,744,49
0,742,61,0,742,49
0,747,47,0,747,47
0,744,50,0,744,50
0,740,41,0,740,41
0,779,110,0,779,110
0,553,112,0,1078,62
0,754,62,0,716,6
0,753,63,0,717,8
0,799,148,0,716,7
0,761,69,0,715,7
0,783,108,0,714,8
0,779,89,0,711,7
0,780,97,0,712,8
0,772,98,0,716,7
0,776,100,0,720,10
0,803,157,0,723,7
0,788,130,0,726,8
0,762,96,0,728,9
0,791,155,0,729,10
0,769,119,0,728,8
0,785,143,0,731,8
0,750,85,0,732,7
0,755,94,0,732,7
0,756,95,0,730,7
0,809,184,0,723,8
0,850,235,0,719,7
0,812,153,0,718,7
0,775,103,0,715,7
0,787,128,0,713,6
0,829,201,0,714,7
0,825,186,0,712,6
0,804,154,0,716,7
0,797,143,0,719,7
0,748,62,0,718,6
0,750,58,0,718,9
0,757,73,0,713,6
0,749,50,0,713,6
0,756,67,0,714,8
0,756,68,0,718,7
0,767,89,0,720,8
0,771,99,0,717,7
0,772,99,0,715,8
0,757,71,0,714,6
0,761,74,0,715,7
0,744,59,0,717,8
0,759,82,0,720,8
0,750,69,0,717,6
0,763,84,0,715,6
0,762,80,0,715,6
0,753,67,0,714,6
0,752,55,0,716,8
0,760,76,0,713,7
0,743,46,0,711,6
0,742,43,0,712,6
0,770,97,0,713,6
0,785,127,0,717,6
0,761,82,0,719,6
0,750,57,0,717,23
0,733,32,0,733,32
0,734,33,0,734,33
0,741,50,0,753,50
0,744,50,0,744,50
0,753,68,0,753,68
0,739,43,0,739,43
0,745,53,0,745,53
0,735,96,0,1004,129
0,755,68,0,717,6
0,740,46,0,714,7
0,746,60,0,715,7
0,750,69,0,718,8
0,737,40,0,717,6
0,739,48,0,717,8
0,736,44,0,717,6
0,746,59,0,718,6
0,752,70,0,719,7
0,755,80,0,720,7
0,779,110,0,720,6
0,731,40,0,720,6
0,746,59,0,720,6
0,738,50,0,719,7
0,744,54,0,716,8
0,766,91,0,715,7
0,792,134,0,715,7
0,813,179,0,714,5
0,830,196,0,713,5
0,766,85,0,712,6
0,763,80,0,711,6
0,745,49,0,713,9
0,747,52,0,711,7
0,761,78,0,710,6
0,774,98,0,712,5
0,758,68,0,714,5
0,740,54,0,720,6
0,737,61,0,728,7
0,728,51,0,730,8
0,730,59,0,730,7
0,727,46,0,729,7
0,731,52,0,725,6
0,739,63,0,724,6
0,751,73,0,724,5
0,759,86,0,720,6
0,747,58,0,717,7
0,753,67,0,712,6
0,751,57,0,710,6
0,748,53,0,710,7
0,743,49,0,712,7
0,758,74,0,712,5
0,737,34,0,713,6
0,750,60,0,713,6
0,762,74,0,711,6
0,745,53,0,712,5
0,750,64,0,715,7
0,741,57,0,719,7
0,770,109,0,719,6
0,732,37,0,716,6
0,749,63,0,715,7
0,743,52,0,712,5
0,753,42,0,714,21
0,731,32,0,731,32
0,729,27,0,729,27
0,748,25,0,728,25
0,718,39,0,750,30
0,731,31,0,731,31
0,735,37,0,735,37
0,728,26,0,728,26
0,740,51,0,899,46
0,744,50,0,961,8
0,769,77,0,708,5
0,750,57,0,708,6
0,744,48,0,709,6
0,746,45,0,708,6
0,745,50,0,710,7
0,738,36,0,709,7
0,748,53,0,708,5
0,741,41,0,711,7
0,759,72,0,709,5
0,752,65,0,711,5
0,736,41,0,715,6
0,803,181,0,719,6
0,804,190,0,723,5
0,786,149,0,724,5
0,726,52,0,730,11
0,715,24,0,730,8
0,723,43,0,729,7
0,719,36,0,728,6
0,755,69,0,724,7
0,739,61,0,722,9
0,746,68,0,718,5
0,729,30,0,715,6
0,730,24,0,712,5
0,743,45,0,711,7
0,751,56,0,708,5
0,752,60,0,708,5
0,752,55,0,710,5
0,727,23,0,712,4
